Job title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Data Scientist,Tata Consultancy Services (TCS),4-8 Yrs,Bangalore,5-14 Lacs PA,5-14 ,5.0,14.0,9.5,4-8 ,4,8,6.0
Data Scientist,Deloitte,9-14 Yrs,Bangalore,18-30 Lacs PA,18-30 ,18.0,30.0,24.0,9-14 ,9,14,11.5
Data Scientist,Innominds Software,7-12 Yrs,Bangalore,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,7-12 ,7,12,9.5
Data Scientist,IT Automation Llc,5-7 Yrs,remote,12-20 Lacs PA,12-20 ,12.0,20.0,16.0,5-7 ,5,7,6.0
Data Scientist,Whizdm Innovations,2-5 Yrs,remote,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,2-5 ,2,5,3.5
Data Scientist,Headhunter,4-9 Yrs,remote,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,4-9 ,4,9,6.5
Data Scientist,Tata Consultancy Services (TCS),7-12 Yrs,Gurugram,50000-3 Lacs PA,0.5-3 ,0.5,3.0,1.75,7-12 ,7,12,9.5
Data Scientist,Aujla Business Software,4-8 Yrs,Misc,40-50 Lacs PA,40-50 ,40.0,50.0,45.0,4-8 ,4,8,6.0
Data Scientist,Crofarm,3-7 Yrs,Gurugram,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,3-7 ,3,7,5.0
Data Scientist,Easy Data Analytics,4-6 Yrs,Bangalore,6-15 Lacs PA,6-15 ,6.0,15.0,10.5,4-6 ,4,6,5.0
Data Scientist,Ontrack Hr Services,10-20 Yrs,Bangalore,8-18 Lacs PA,8-18 ,8.0,18.0,13.0,10-20 ,10,20,15.0
Data Scientist,DataBuzz Ltd,4-9 Yrs,hyderabad,20-35 Lacs PA,20-35 ,20.0,35.0,27.5,4-9 ,4,9,6.5
Data Scientist,Industrial Personnel Network,3-7 Yrs,Gurugram,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,3-7 ,3,7,5.0
Data Scientist,Adler Talent Solutions,2-4 Yrs,Gujrat,6-8 Lacs PA,6-8 ,6.0,8.0,7.0,2-4 ,2,4,3.0
Data Scientist,Shadow Placements,5-10 Yrs,Gurugram,7-14 Lacs PA,7-14 ,7.0,14.0,10.5,5-10 ,5,10,7.5
Data Scientist,RK Hr Management,2-7 Yrs,Gujrat,13-22.5 Lacs PA,13-22.5 ,13.0,22.5,17.75,2-7 ,2,7,4.5
Data Scientist,Quick Manpower Solutions India,3-8 Yrs,Maharashtra,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,3-8 ,3,8,5.5
Data Scientist,Deloitte,3-8 Yrs,Bangalore,13-23 Lacs PA,13-23 ,13.0,23.0,18.0,3-8 ,3,8,5.5
Data Scientist,Tech Mahindra,7-12 Yrs,Bangalore,30 Lacs PA,30 ,30.0,30.0,30.0,7-12 ,7,12,9.5
Data Scientist,Neumile Iot,2-4 Yrs,Bangalore,4.5-5.5 Lacs PA,4.5-5.5 ,4.5,5.5,5.0,2-4 ,2,4,3.0
Data Scientist,Brainsearch Consulting,3-7 Yrs,Gurugram,14-20 Lacs PA,14-20 ,14.0,20.0,17.0,3-7 ,3,7,5.0
Data Scientist,Newpage Hr Solutions Llp,4-9 Yrs,Bangalore,8-12 Lacs PA,8-12 ,8.0,12.0,10.0,4-9 ,4,9,6.5
Data Scientist,Brainsearch Consulting,2-6 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,2-6 ,2,6,4.0
Data Scientist,Aspyra Hr Services,3-8 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,3-8 ,3,8,5.5
Data Scientist,NDS InfoServ,0-2 Yrs,Maharashtra,12-15 Lacs PA,12-15 ,12.0,15.0,13.5,0-2 ,0,2,1.0
Data Scientist,Tech Mahindra,12-20 Yrs,Pune,25-30 Lacs PA,25-30 ,25.0,30.0,27.5,12-20 ,12,20,16.0
Data Scientist,Tech Mahindra,4-6 Yrs,Gurugram,15-22.5 Lacs PA,15-22.5 ,15.0,22.5,18.75,4-6 ,4,6,5.0
Data Scientist,Talent Leads Hr Solutions,4-9 Yrs,Maharashtra,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,4-9 ,4,9,6.5
Data Scientist,Chkmt Global Technologies,2-7 Yrs,Bangalore,6-16 Lacs PA,6-16 ,6.0,16.0,11.0,2-7 ,2,7,4.5
Data Scientist,Reward360,1-3 Yrs,Bangalore,6-13 Lacs PA,6-13 ,6.0,13.0,9.5,1-3 ,1,3,2.0
Data Scientist,Werize,4-6 Yrs,Bangalore,20-27.5 Lacs PA,20-27.5 ,20.0,27.5,23.75,4-6 ,4,6,5.0
Data Scientist,ATG Business Solutions,5-10 Yrs,Bangalore,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,5-10 ,5,10,7.5
Data Scientist,People Powered Solutions,3-6 Yrs,Pune,7-15 Lacs PA,7-15 ,7.0,15.0,11.0,3-6 ,3,6,4.5
Data Scientist,Innopark,5-6 Yrs,hyderabad,25-40 Lacs PA,25-40 ,25.0,40.0,32.5,5-6 ,5,6,5.5
Data Scientist,Infinite Uptime India Pvt. Ltd.,2-4 Yrs,remote,12-18 Lacs PA (Including Variable: 10.0%),12-18  ,12.0,18.0,15.0,2-4 ,2,4,3.0
Data Scientist,Tronlogix Tech pvt ltd.,5-10 Yrs,Chennai,10-15 Lacs PA,10-15 ,10.0,15.0,12.5,5-10 ,5,10,7.5
Data Scientist,Pinnacle Specialists,2-5 Yrs,Hybrid,4-8 Lacs PA,4-8 ,4.0,8.0,6.0,2-5 ,2,5,3.5
Data Scientist,Flexi Careers India,7-12 Yrs,Chennai,27.5-37.5 Lacs PA,27.5-37.5 ,27.5,37.5,32.5,7-12 ,7,12,9.5
Data Scientist,Creative Hands HR,2-6 Yrs,Chennai,8-13 Lacs PA,8-13 ,8.0,13.0,10.5,2-6 ,2,6,4.0
Data Scientist,Elizabeth N Queen,3-8 Yrs,remote,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,3-8 ,3,8,5.5
Data Scientist,Industrial Personnel Network,3-7 Yrs,Gurugram,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,3-7 ,3,7,5.0
Data Scientist,Bsri Solutions,5-10 Yrs,Chennai,6-16 Lacs PA,6-16 ,6.0,16.0,11.0,5-10 ,5,10,7.5
Data Scientist,Aspyra Hr Services,5-10 Yrs,Bangalore,25-40 Lacs PA,25-40 ,25.0,40.0,32.5,5-10 ,5,10,7.5
Data Scientist,Talentify,0-5 Yrs,Bangalore,8-18 Lacs PA,8-18 ,8.0,18.0,13.0,0-5 ,0,5,2.5
Data Scientist,Search Advisers Services Guj,6-10 Yrs,Bangalore,25-30 Lacs PA,25-30 ,25.0,30.0,27.5,6-10 ,6,10,8.0
Data Scientist,Search Advisers Services Guj,5-10 Yrs,Bangalore,16-22.5 Lacs PA,16-22.5 ,16.0,22.5,19.25,5-10 ,5,10,7.5
Data Scientist,Search Advisers Services Guj,6-10 Yrs,Bangalore,25-30 Lacs PA,25-30 ,25.0,30.0,27.5,6-10 ,6,10,8.0
Data Scientist,Search Advisers Services Guj,5-10 Yrs,Bangalore,16-22.5 Lacs PA,16-22.5 ,16.0,22.5,19.25,5-10 ,5,10,7.5
Data Scientist,Aliqan Services,7-10 Yrs,remote,25-40 Lacs PA,25-40 ,25.0,40.0,32.5,7-10 ,7,10,8.5
Data Scientist,XA Group,5-10 Yrs,remote,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-10 ,5,10,7.5
Data Scientist,M/S Hirelab,3-5 Yrs,Gurugram,30-35 Lacs PA,30-35 ,30.0,35.0,32.5,3-5 ,3,5,4.0
Data Scientist,Aspyra Hr Services,5-9 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,5-9 ,5,9,7.0
Data Scientist,Pylon Management Consulting,2-5 Yrs,remote,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,2-5 ,2,5,3.5
Data Scientist,Sun Life,5-10 Yrs,Gurugram,20-30 Lacs PA,20-30 ,20.0,30.0,25.0,5-10 ,5,10,7.5
Data Scientist,Think People Solutions,7-12 Yrs,Maharashtra,27.5-40 Lacs PA,27.5-40 ,27.5,40.0,33.75,7-12 ,7,12,9.5
Data Scientist,Aspyra Hr Services,3-8 Yrs,Gurugram,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,3-8 ,3,8,5.5
Data Scientist,Planetskool,2-7 Yrs,Gurugram,6-12 Lacs PA,6-12 ,6.0,12.0,9.0,2-7 ,2,7,4.5
Data Scientist,Vipsa Talent Solutions,8-12 Yrs,Bangalore,25-30 Lacs PA,25-30 ,25.0,30.0,27.5,8-12 ,8,12,10.0
Data Scientist,Satc Marketing India,2-7 Yrs,remote,9-15 Lacs PA,9-15 ,9.0,15.0,12.0,2-7 ,2,7,4.5
data engineer,Tata Consultancy Services (TCS),6-11 Yrs,Bangalore,50000-3 Lacs PA,0.5-3 ,0.5,3.0,1.75,6-11 ,6,11,8.5
data engineer,Nexplace Info,4-8 Yrs,Bangalore,1-2.25 Lacs PA,1-2.25 ,1.0,2.25,1.625,4-8 ,4,8,6.0
Data Analyst,Nexplace Info,6-11 Yrs,Bangalore,30-32.5 Lacs PA,30-32.5 ,30.0,32.5,31.25,6-11 ,6,11,8.5
Data Analyst,Nexplace Info,6-11 Yrs,Bangalore,1-3 Lacs PA,1-3 ,1.0,3.0,2.0,6-11 ,6,11,8.5
data engineer,Tata Consultancy Services (TCS),6-8 Yrs,Bangalore,50000-3 Lacs PA,0.5-3 ,0.5,3.0,1.75,6-8 ,6,8,7.0
Data Scientist,Hexaware Technologies,7-10 Yrs,Bangalore,20-35 Lacs PA,20-35 ,20.0,35.0,27.5,7-10 ,7,10,8.5
ML Engineer,Tata Elxsi,7-12 Yrs,Bangalore,9-14 Lacs PA,9-14 ,9.0,14.0,11.5,7-12 ,7,12,9.5
Data Analyst,Wipro,3-6 Yrs,Bangalore,10-16 Lacs PA,10-16 ,10.0,16.0,13.0,3-6 ,3,6,4.5
Data Analyst,HARMAN,3-5 Yrs,Bangalore,7-17 Lacs PA,7-17 ,7.0,17.0,12.0,3-5 ,3,5,4.0
Data Analyst,Sails Software Solutions,0-1 Yrs,Misc,2.5-3.5 Lacs PA,2.5-3.5 ,2.5,3.5,3.0,0-1 ,0,1,0.5
data engineer,Nexplace Info,4-9 Yrs,Bangalore,22.5-27.5 Lacs PA,22.5-27.5 ,22.5,27.5,25.0,4-9 ,4,9,6.5
data engineer,Nexplace Info,4-7 Yrs,Bangalore,6-16 Lacs PA,6-16 ,6.0,16.0,11.0,4-7 ,4,7,5.5
data engineer,Careernet Technologies,4-6 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,4-6 ,4,6,5.0
data engineer,Teamlease Digital,6-9 Yrs,Bangalore,3.25-8.25 Lacs PA,3.25-8.25 ,3.25,8.25,5.75,6-9 ,6,9,7.5
Data Analyst,Multi Recruit,5-10 Yrs,Bangalore,30-37.5 Lacs PA,30-37.5 ,30.0,37.5,33.75,5-10 ,5,10,7.5
Data Analyst,Wonderla Holidays,3-6 Yrs,Bangalore,2.25-4 Lacs PA,2.25-4 ,2.25,4.0,3.125,3-6 ,3,6,4.5
Data Analyst,Aranca,0-2 Yrs,Maharashtra,50000-1.75 Lacs PA,0.5-1.75 ,0.5,1.75,1.125,0-2 ,0,2,1.0
data engineer,Artech,5-10 Yrs,remote,10-15 Lacs PA,10-15 ,10.0,15.0,12.5,5-10 ,5,10,7.5
data engineer,Tata Consultancy Services (TCS),2-7 Yrs,Bangalore,50000-2.75 Lacs PA,0.5-2.75 ,0.5,2.75,1.625,2-7 ,2,7,4.5
data engineer,G7 Cr Technologies,0-1 Yrs,Bangalore,3-4 Lacs PA,3-4 ,3.0,4.0,3.5,0-1 ,0,1,0.5
data engineer,Team Plus Staffing Solution,2-4 Yrs,Bangalore,7-10 Lacs PA,7-10 ,7.0,10.0,8.5,2-4 ,2,4,3.0
data engineer,Team Plus Staffing Solution,3-8 Yrs,Bangalore,10-15 Lacs PA,10-15 ,10.0,15.0,12.5,3-8 ,3,8,5.5
data engineer,Wipro,4-9 Yrs,Bangalore,50000-3 Lacs PA,0.5-3 ,0.5,3.0,1.75,4-9 ,4,9,6.5
data engineer,Concentrix Catalyst,4-9 Yrs,Bangalore,8-18 Lacs PA,8-18 ,8.0,18.0,13.0,4-9 ,4,9,6.5
data engineer,HARMAN,6-9 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,6-9 ,6,9,7.5
data engineer,Brains N Skills,0-1 Yrs,Bangalore,1.5-2.75 Lacs PA,1.5-2.75 ,1.5,2.75,2.125,0-1 ,0,1,0.5
data engineer,DEFTeam,0-1 Yrs,hyderabad,3.5-4 Lacs PA,3.5-4 ,3.5,4.0,3.75,0-1 ,0,1,0.5
Data Analyst,Artech,5-8 Yrs,Bangalore,7-17 Lacs PA,7-17 ,7.0,17.0,12.0,5-8 ,5,8,6.5
Data Analyst,NTT DATA Business Solutions Private Limited,5-8 Yrs,Hybrid,4.75-5.5 Lacs PA,4.75-5.5 ,4.75,5.5,5.125,5-8 ,5,8,6.5
Data Analyst,M K Management Services,0-0 Yrs,Pune,3.25-3.5 Lacs PA,3.25-3.5 ,3.25,3.5,3.375,0-0 ,0,0,0.0
data engineer,Hissar IT,8-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,8-12 ,8,12,10.0
Data Scientist,Hissar IT,8-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,8-12 ,8,12,10.0
data engineer,Aezion Technologies,8-13 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,8-13 ,8,13,10.5
data engineer,Indiaexcite It Solutions,8-12 Yrs,Bangalore,20-32.5 Lacs PA,20-32.5 ,20.0,32.5,26.25,8-12 ,8,12,10.0
data engineer,SLICeR Solutions Pvt. Ltd.,4-6 Yrs,Bangalore,7-12 Lacs PA,7-12 ,7.0,12.0,9.5,4-6 ,4,6,5.0
data engineer,Allegis Group,8-13 Yrs,Bangalore,8-18 Lacs PA,8-18 ,8.0,18.0,13.0,8-13 ,8,13,10.5
data engineer,Allegis Group,8-12 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,8-12 ,8,12,10.0
data engineer,ITC Infotech,5-8 Yrs,Bangalore,50000-60000 PA,0.5-0.6 ,0.5,0.6,0.55,5-8 ,5,8,6.5
data engineer,Randstad,6-9 Yrs,Bangalore,1-6 Lacs PA,1-6 ,1.0,6.0,3.5,6-9 ,6,9,7.5
data engineer,Nexplace Info,4-9 Yrs,Bangalore,1.25-2.25 Lacs PA,1.25-2.25 ,1.25,2.25,1.75,4-9 ,4,9,6.5
Data Analyst,Axtria,7-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,7-12 ,7,12,9.5
Data Analyst,Select Source International,6-10 Yrs,Bangalore,10-14 Lacs PA,10-14 ,10.0,14.0,12.0,6-10 ,6,10,8.0
Data Analyst,Fabzen Technologies,2-4 Yrs,Bangalore,8-10 Lacs PA,8-10 ,8.0,10.0,9.0,2-4 ,2,4,3.0
Data Analyst,Dainik Bhaskar Group,7-10 Yrs,Maharashtra,6-8 Lacs PA,6-8 ,6.0,8.0,7.0,7-10 ,7,10,8.5
Data Analyst,Randstad India,2-7 Yrs,remote,2.5-7 Lacs PA,2.5-7 ,2.5,7.0,4.75,2-7 ,2,7,4.5
data engineer,Techneplus Software India Private Limited,5-8 Yrs,Bangalore,25-32.5 Lacs PA,25-32.5 ,25.0,32.5,28.75,5-8 ,5,8,6.5
Data Scientist,RMW India Services,8-13 Yrs,Bangalore,13-23 Lacs PA,13-23 ,13.0,23.0,18.0,8-13 ,8,13,10.5
na,RMS Technologies,2-3 Yrs,Bangalore,3-4 Lacs PA,3-4 ,3.0,4.0,3.5,2-3 ,2,3,2.5
Data Scientist,Support Star Corporate,7-10 Yrs,hyderabad,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,7-10 ,7,10,8.5
data engineer,Allegis Group,6-11 Yrs,hyderabad,50000-3 Lacs PA,0.5-3 ,0.5,3.0,1.75,6-11 ,6,11,8.5
data engineer,Tata Consultancy Services (TCS),5-10 Yrs,Bangalore,50000-2.75 Lacs PA,0.5-2.75 ,0.5,2.75,1.625,5-10 ,5,10,7.5
ML Engineer,Strydo Technologies,0-2 Yrs,Misc,1-2.5 Lacs PA,1-2.5 ,1.0,2.5,1.75,0-2 ,0,2,1.0
Data Analyst,Factspan Analytics,3-8 Yrs,Bangalore,4-9 Lacs PA,4-9 ,4.0,9.0,6.5,3-8 ,3,8,5.5
Data Analyst,"Retail Kloud9 Technologies India Pvt. Ltd.,",7-12 Yrs,Bangalore,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,7-12 ,7,12,9.5
Data Analyst,Compass Group,2-5 Yrs,Maharashtra,2-5 Lacs PA,2-5 ,2.0,5.0,3.5,2-5 ,2,5,3.5
Data Analyst,ReNew Power,1-4 Yrs,Gurugram,3-7 Lacs PA,3-7 ,3.0,7.0,5.0,1-4 ,1,4,2.5
Data Analyst,Citicorp Finance,4-9 Yrs,Hybrid,15-27.5 Lacs PA,15-27.5 ,15.0,27.5,21.25,4-9 ,4,9,6.5
Data Analyst,Acurus,0-3 Yrs,Chennai,3.5-4 Lacs PA,3.5-4 ,3.5,4.0,3.75,0-3 ,0,3,1.5
Data Analyst,ActionEdge Research Services,0-3 Yrs,Gujrat,2.25-3 Lacs PA,2.25-3 ,2.25,3.0,2.625,0-3 ,0,3,1.5
Data Analyst,National Institute for Smart Government (NISG),3-5 Yrs,Gurugram,10-15 Lacs PA,10-15 ,10.0,15.0,12.5,3-5 ,3,5,4.0
Data Analyst,Tenet Health Edutech,0-0 Yrs,Maharashtra,1.75-2.5 Lacs PA,1.75-2.5 ,1.75,2.5,2.125,0-0 ,0,0,0.0
Data Analyst,Ohm Analytics,0-2 Yrs,Pune,1.5-3.5 Lacs PA,1.5-3.5 ,1.5,3.5,2.5,0-2 ,0,2,1.0
Data Analyst,Technosoft Engineering,0-2 Yrs,Maharashtra,1-3 Lacs PA,1-3 ,1.0,3.0,2.0,0-2 ,0,2,1.0
data engineer,Imaginators Try Going Beyond,4-7 Yrs,Bangalore,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,4-7 ,4,7,5.5
data engineer,Imaginators Try Going Beyond,5-10 Yrs,Bangalore,17-25 Lacs PA,17-25 ,17.0,25.0,21.0,5-10 ,5,10,7.5
data engineer,Lentra,8-12 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,8-12 ,8,12,10.0
data engineer,Imaginators Try Going Beyond,4-7 Yrs,Bangalore,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,4-7 ,4,7,5.5
data engineer,Imaginators Try Going Beyond,5-10 Yrs,Bangalore,17-25 Lacs PA,17-25 ,17.0,25.0,21.0,5-10 ,5,10,7.5
data engineer,Tech Mahindra,6-11 Yrs,hyderabad,7-17 Lacs PA,7-17 ,7.0,17.0,12.0,6-11 ,6,11,8.5
data engineer,Manpowergroup Services India,5-10 Yrs,Hybrid,11-21 Lacs PA,11-21 ,11.0,21.0,16.0,5-10 ,5,10,7.5
data engineer,Citrix,4-9 Yrs,Bangalore,5-15 Lacs PA,5-15 ,5.0,15.0,10.0,4-9 ,4,9,6.5
data engineer,Luxoft,6-10 Yrs,remote,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,6-10 ,6,10,8.0
na,Newpage Hr Solutions Llp,1-6 Yrs,Bangalore,5-10 Lacs PA,5-10 ,5.0,10.0,7.5,1-6 ,1,6,3.5
data engineer,Infogain,4-9 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,4-9 ,4,9,6.5
data engineer,Team Plus Staffing Solution,3-8 Yrs,hyderabad,12-20 Lacs PA,12-20 ,12.0,20.0,16.0,3-8 ,3,8,5.5
data engineer,Cognizant,9-12 Yrs,Bangalore,13-23 Lacs PA,13-23 ,13.0,23.0,18.0,9-12 ,9,12,10.5
data engineer,Virtual Caliber,5-10 Yrs,Bangalore,1-6 Lacs PA,1-6 ,1.0,6.0,3.5,5-10 ,5,10,7.5
data engineer,ITC Infotech,5-9 Yrs,Bangalore,12-18 Lacs PA,12-18 ,12.0,18.0,15.0,5-9 ,5,9,7.0
data engineer,Tech Mahindra,5-10 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,5-10 ,5,10,7.5
data engineer,Nexplace Info,4-8 Yrs,Bangalore,50000-2.25 Lacs PA,0.5-2.25 ,0.5,2.25,1.375,4-8 ,4,8,6.0
ML Engineer,Gibraltar Technologies Llc,8-10 Yrs,Bangalore,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,8-10 ,8,10,9.0
Data Scientist,Indiaexcite It Solutions,5-9 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,5-9 ,5,9,7.0
data engineer,PBI Analytics,0-1 Yrs,remote,1.5-2 Lacs PA,1.5-2 ,1.5,2.0,1.75,0-1 ,0,1,0.5
ML Engineer,Advance Career Solutions,6-10 Yrs,Bangalore,8.5-18.5 Lacs PA,8.5-18.5 ,8.5,18.5,13.5,6-10 ,6,10,8.0
data engineer,Excel Talent Plus,5-10 Yrs,hyderabad,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,5-10 ,5,10,7.5
Data Analyst,Vuca Consulting,5-10 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-10 ,5,10,7.5
Data Analyst,Shadowfax Technologies,2-5 Yrs,Bangalore,4-6 Lacs PA,4-6 ,4.0,6.0,5.0,2-5 ,2,5,3.5
data engineer,EDGE Executive,5-9 Yrs,hyderabad,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-9 ,5,9,7.0
data engineer,Krazy Mantra,7-12 Yrs,remote,30-40 Lacs PA,30-40 ,30.0,40.0,35.0,7-12 ,7,12,9.5
data engineer,HR Central,7-12 Yrs,Bangalore,18-30 Lacs PA,18-30 ,18.0,30.0,24.0,7-12 ,7,12,9.5
data engineer,Imaginators Try Going Beyond,5-10 Yrs,Bangalore,9.5-19.5 Lacs PA,9.5-19.5 ,9.5,19.5,14.5,5-10 ,5,10,7.5
data engineer,Green Start,10-20 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,10-20 ,10,20,15.0
data engineer,Info Edge,3-6 Yrs,Uttar pradesh,20-35 Lacs PA,20-35 ,20.0,35.0,27.5,3-6 ,3,6,4.5
data engineer,Exponentia Datalabs,4-6 Yrs,Bangalore,12-16 Lacs PA,12-16 ,12.0,16.0,14.0,4-6 ,4,6,5.0
data engineer,Hissar IT,3-8 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,3-8 ,3,8,5.5
data engineer,Aanseaa Technologies,6-10 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,6-10 ,6,10,8.0
data engineer,Staffspectrum Services,7-12 Yrs,Bangalore,40-45 Lacs PA,40-45 ,40.0,45.0,42.5,7-12 ,7,12,9.5
data engineer,Symphoni Hr,5-10 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-10 ,5,10,7.5
data engineer,Multi Recruit,5-9 Yrs,Bangalore,30-35 Lacs PA,30-35 ,30.0,35.0,32.5,5-9 ,5,9,7.0
data engineer,Ascendion Engineering,10-15 Yrs,remote,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,10-15 ,10,15,12.5
